id,Hora,Uso_CPU,Memoria_total,Memoria_usada,Procesos,Discos,Internet
21,2025-04-12 03:08:31,CPU 1: 39.62% | CPU 2: 22.81% | CPU 3: 33.98% | CPU 4: 25.54% | CPU 5: 36.39% | CPU 6: 23.75% | CPU 7: 40.49% | CPU 8: 24.90%,16221.05 MB,9460.55 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 470.10 MB) | [14588] Code.exe (Mem: 433.28 MB) | [8272] explorer.exe (Mem: 335.55 MB) | [6948] brave.exe (Mem: 321.11 MB),[D:\][Tipo: HDD] Lectura: 23787.13 MB | Escritura: 89663.18 MB | [C:\][Tipo: SSD] Lectura: 16414.09 MB | Escritura: 22759.97 MB,Wi-Fi: 0.05 Mbps (down) / 0.46 Mbps (up)
22,2025-04-12 03:13:39,CPU 1: 42.10% | CPU 2: 22.05% | CPU 3: 37.22% | CPU 4: 25.49% | CPU 5: 35.91% | CPU 6: 26.04% | CPU 7: 42.39% | CPU 8: 24.49%,16221.05 MB,9433.12 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 469.36 MB) | [14588] Code.exe (Mem: 433.34 MB) | [8272] explorer.exe (Mem: 335.54 MB) | [6948] brave.exe (Mem: 321.64 MB),[D:\][Tipo: HDD] Lectura: 23787.13 MB | Escritura: 89663.48 MB | [C:\][Tipo: SSD] Lectura: 16416.50 MB | Escritura: 22775.61 MB,Wi-Fi: 0.08 Mbps (down) / 0.47 Mbps (up)
23,2025-04-12 03:18:46,CPU 1: 42.18% | CPU 2: 23.30% | CPU 3: 36.11% | CPU 4: 26.07% | CPU 5: 35.99% | CPU 6: 28.16% | CPU 7: 42.41% | CPU 8: 25.58%,16221.05 MB,9570.42 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 469.70 MB) | [14588] Code.exe (Mem: 429.02 MB) | [8272] explorer.exe (Mem: 335.60 MB) | [6948] brave.exe (Mem: 322.51 MB),[D:\][Tipo: HDD] Lectura: 23787.13 MB | Escritura: 89664.22 MB | [C:\][Tipo: SSD] Lectura: 16420.42 MB | Escritura: 22793.85 MB,Wi-Fi: 0.07 Mbps (down) / 0.47 Mbps (up)
24,2025-04-12 03:23:53,CPU 1: 39.20% | CPU 2: 25.64% | CPU 3: 37.77% | CPU 4: 26.23% | CPU 5: 38.83% | CPU 6: 22.43% | CPU 7: 42.22% | CPU 8: 25.47%,16221.05 MB,9557.64 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 495.18 MB) | [14588] Code.exe (Mem: 429.57 MB) | [8272] explorer.exe (Mem: 335.81 MB) | [6948] brave.exe (Mem: 322.58 MB),[D:\][Tipo: HDD] Lectura: 23787.13 MB | Escritura: 89664.89 MB | [C:\][Tipo: SSD] Lectura: 16421.32 MB | Escritura: 22812.94 MB,Wi-Fi: 0.14 Mbps (down) / 0.48 Mbps (up)
25,2025-04-12 03:29:01,CPU 1: 40.89% | CPU 2: 24.09% | CPU 3: 35.52% | CPU 4: 26.70% | CPU 5: 35.96% | CPU 6: 24.62% | CPU 7: 42.83% | CPU 8: 26.18%,16221.05 MB,9505.36 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 490.16 MB) | [14588] Code.exe (Mem: 429.42 MB) | [8272] explorer.exe (Mem: 336.70 MB) | [6948] brave.exe (Mem: 322.14 MB),[D:\][Tipo: HDD] Lectura: 23787.13 MB | Escritura: 89665.33 MB | [C:\][Tipo: SSD] Lectura: 16421.65 MB | Escritura: 22825.23 MB,Wi-Fi: 0.06 Mbps (down) / 0.47 Mbps (up)
26,2025-04-12 03:34:08,CPU 1: 40.36% | CPU 2: 27.19% | CPU 3: 36.24% | CPU 4: 29.29% | CPU 5: 40.23% | CPU 6: 25.47% | CPU 7: 45.07% | CPU 8: 27.65%,16221.05 MB,9522.52 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 486.20 MB) | [14588] Code.exe (Mem: 430.08 MB) | [8272] explorer.exe (Mem: 336.75 MB) | [6948] brave.exe (Mem: 322.38 MB),[D:\][Tipo: HDD] Lectura: 23787.13 MB | Escritura: 89665.83 MB | [C:\][Tipo: SSD] Lectura: 16421.72 MB | Escritura: 22840.32 MB,Wi-Fi: 0.09 Mbps (down) / 0.47 Mbps (up)
27,2025-04-12 03:39:15,CPU 1: 38.10% | CPU 2: 24.83% | CPU 3: 37.89% | CPU 4: 24.22% | CPU 5: 34.48% | CPU 6: 23.03% | CPU 7: 39.74% | CPU 8: 25.11%,16221.05 MB,9546.94 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 482.79 MB) | [14588] Code.exe (Mem: 430.06 MB) | [8272] explorer.exe (Mem: 336.67 MB) | [6948] brave.exe (Mem: 321.91 MB),[D:\][Tipo: HDD] Lectura: 23787.13 MB | Escritura: 89666.25 MB | [C:\][Tipo: SSD] Lectura: 16421.84 MB | Escritura: 22870.36 MB,Wi-Fi: 0.05 Mbps (down) / 0.46 Mbps (up)
28,2025-04-12 03:44:23,CPU 1: 40.76% | CPU 2: 24.16% | CPU 3: 34.21% | CPU 4: 25.80% | CPU 5: 37.67% | CPU 6: 22.04% | CPU 7: 41.80% | CPU 8: 25.71%,16221.05 MB,9522.48 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 482.90 MB) | [14588] Code.exe (Mem: 431.35 MB) | [8272] explorer.exe (Mem: 335.68 MB) | [6948] brave.exe (Mem: 322.88 MB),[D:\][Tipo: HDD] Lectura: 23787.13 MB | Escritura: 89666.53 MB | [C:\][Tipo: SSD] Lectura: 16422.65 MB | Escritura: 22888.23 MB,Wi-Fi: 0.07 Mbps (down) / 0.45 Mbps (up)
29,2025-04-12 03:49:30,CPU 1: 42.05% | CPU 2: 23.28% | CPU 3: 36.11% | CPU 4: 26.96% | CPU 5: 36.79% | CPU 6: 22.92% | CPU 7: 40.89% | CPU 8: 24.35%,16221.05 MB,9566.73 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 485.16 MB) | [14588] Code.exe (Mem: 431.36 MB) | [8272] explorer.exe (Mem: 335.63 MB) | [6948] brave.exe (Mem: 323.08 MB),[D:\][Tipo: HDD] Lectura: 23787.13 MB | Escritura: 89666.96 MB | [C:\][Tipo: SSD] Lectura: 16422.72 MB | Escritura: 22904.02 MB,Wi-Fi: 0.06 Mbps (down) / 0.45 Mbps (up)
30,2025-04-12 03:54:37,CPU 1: 40.89% | CPU 2: 24.36% | CPU 3: 36.36% | CPU 4: 25.78% | CPU 5: 37.37% | CPU 6: 21.65% | CPU 7: 41.24% | CPU 8: 26.06%,16221.05 MB,9551.90 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 487.46 MB) | [14588] Code.exe (Mem: 431.34 MB) | [8272] explorer.exe (Mem: 335.65 MB) | [6948] brave.exe (Mem: 322.98 MB),[D:\][Tipo: HDD] Lectura: 23787.13 MB | Escritura: 89667.24 MB | [C:\][Tipo: SSD] Lectura: 16422.84 MB | Escritura: 22914.77 MB,Wi-Fi: 0.05 Mbps (down) / 0.47 Mbps (up)
